,name,lng,lat,diet,period,type,length
11065,Allosaurus,-107.458336,44.051388,carnivorous,Late Jurassic 156-144 million years ago,large theropod,12.0
11067,Camarasaurus,-107.458336,44.051388,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
11068,Brachiosaurus,-107.458336,44.051388,herbivorous,Late Jurassic 155-140 million years ago,sauropod,30.0
11070,Ceratosaurus,-107.458336,44.051388,carnivorous,Late Jurassic 153-148 million years ago,large theropod,6.0
11155,Velociraptor,103.72139,44.145279,carnivorous,Late Cretaceous 74-70 million years ago,small theropod,1.8
11213,Camarasaurus,-103.306946,44.474445,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
11215,Camarasaurus,-103.306946,44.474445,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
11220,Microraptor,120.225601,41.494999,carnivorous,Early Cretaceous 125-122 million years ago,small theropod,0.8
11257,Suchomimus,9.117778,16.437778,carnivorous,Early Cretaceous 121-112 million years ago,large theropod,11.0
11279,Troodon,-112.883331,51.995834,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
11290,Spinosaurus,35.814999,4.273056,carnivorous,Late Cretaceous 95-70 million years ago,large theropod,18.0
11350,Camarasaurus,-108.391647,40.455929,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
11351,Diplodocus,-108.391647,40.455929,herbivorous,Late Jurassic 155-145 million years ago,sauropod,26.0
11357,Iguanodon,9.068611,52.250278,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
11372,Dilophosaurus,-111.26667,36.066666,carnivorous,Early Jurassic 190 million years ago,large theropod,6.0
11395,Deinonychus,-107.879997,44.651112,carnivorous,Early Cretaceous 120-110 million years ago,small theropod,3.0
11397,Deinonychus,-107.898888,44.511665,carnivorous,Early Cretaceous 120-110 million years ago,small theropod,3.0
11399,Deinonychus,-107.902222,44.513332,carnivorous,Early Cretaceous 120-110 million years ago,small theropod,3.0
